Assigned to;Repository Name;Image URL;Architecture Scope;Architectural Notation;Architectural Styles;Concern;Behavior;QAs;Granularity;Components Nature;Connectors Nature;Shapes;Colored?;Connectors Direction;Legend?;Nested Components?;Explicit Ports/Interfaces?;Explicit Connectors?;Design Overlays;Technologies;Notes
Anonymous;chrispiro/deploy_plotly_app_on_gcp;https://github.com/chrispiro/deploy_plotly_app_on_gcp/blob/main/assets/architecture.png;entire;icons_and_arrows;SOA;deployment;dynamic;maintainability;high;technologies;control_flow;icons;y;uni;n;n;n;y;n;google;
Anonymous;ashavijit/Face-Find;https://github.com/ashavijit/Face-Find/blob/main/screenshots/diagrams/business_architecture.png;entire;icons_and_arrows;NA;control_flow;dynamic;interaction_capability;high;APIs, DBs, clients;control_flow;icons;y;uni;n;n;n;y;text;NA;
Anonymous;Activiti/activiti-7-developers-guide;https://github.com/Activiti/activiti-7-developers-guide/blob/master/.gitbook/assets/activiti-cloud-architecture.png;entire+;boxes_and_arrows;client-server, SOA;deployment;static;maintainability, security;medium;technologies, services;communication;rectangles;y;uni, bi;n;y;n;y;n;kubernetes, keycloak;
Anonymous;cordon-thiago/airflow-spark;https://github.com/cordon-thiago/airflow-spark/blob/master/doc/architecture.png;entire;boxes_and_arrows;NA;deployment;static;maintainability;high;containers, DBs;data_flow;rectangles, cylinders, icons;y;uni, bi;n;n;n;y;n;postgresql, apache, jupyter;
Anonymous;IBM/torc_py;https://github.com/IBM/torc_py/blob/master/doc/torc_architecture.png;part;boxes_and_arrows;NA;scheduling;dynamic;flexibility;low;servers;control_flow;rectangles, circles;y;uni;n;y;n;y;n;NA;
Anonymous;kansiris/Angular-Interview-Questions-Answers;https://github.com/kansiris/Angular-Interview-Questions-Answers/blob/master/images/architecture.png;entire;boxes_and_arrows;event-driven, SOA;general;static;maintainability;high;sub-systems;data_flow;rectangles, icons;y;uni;n;y;n;y;n;NA;
Anonymous;SimonLdj/hypnolog-server;https://github.com/SimonLdj/hypnolog-server/blob/master/doc/images/hypnolog-architecture.png;part;icons_and_arrows;client-server;connectivity;static;maintainability;high;servers;data_flow;circles, icons;y;uni;n;n;n;y;n;NA;
Anonymous;chaitin/veinmind-tools;https://github.com/chaitin/veinmind-tools/blob/master/docs/architecture.png;entire;boxes_and_arrows;NA;deployment;static;maintainability;high;sub-systems, containers;communication;rectangles, squares;y;uni, bi;n;y;n;y;n;kubernetes, docker;
Anonymous;IceFireDB/IceFireDB;https://github.com/IceFireDB/IceFireDB/blob/main/imgs/Application_architecture_based_on_IceFireDB.png;entire;boxes;layered;general;static;maintainability;high;DBs, layers;NA;rectangles;y;NA;n;y;n;n;text;icefiredb;blockchain
Anonymous;andrempmattos/harsh-payload;https://github.com/andrempmattos/harsh-payload/blob/master/documentation/diagrams/system_architecture.png;part;boxes;NA;scheduling;static;maintainability;low;packages;NA;rectangles;n;NA;n;y;n;n;text;NA;
Anonymous;ebu/PlugIt;https://github.com/ebu/PlugIt/blob/master/docs/images/architecture_overview.png;entire+;boxes_and_arrows;microservices;connectivity;static;maintainability, flexibility, compatibility;high;DBs, services;communication;rectangles, cylinders;n;uni, bi, no;y;y;y;y;n;NA;
Anonymous;CMUChimpsLab/Peekaboo;https://github.com/CMUChimpsLab/Peekaboo/blob/main/doc/architecture-overview.jpeg;part;boxes_and_arrows, icons_and_arrows;NA;control_flow;dynamic;functional_suitability;medium;sub-systems, functions;data_flow;rectangles, icons;y;uni;n;n;n;y;text, code_snippet;NA;
Anonymous;greatfarmer/fifarm;https://github.com/greatfarmer/fifarm/blob/main/.github/architecture.png;entire+;boxes_and_arrows;client-server;deployment;static;maintainability;high;DBs, clients, servers, APIs, technologies;communication;rectangles, cylinders, icons;y;bi;n;y;n;y;n;google, github, jenkins, nginx, mongodb;
Anonymous;andersonkmi/credit-card-bindb-service-aws;https://github.com/andersonkmi/credit-card-bindb-service-aws/blob/master/img/architecture.jpg;entire;boxes_and_arrows;event-driven;control_flow;dynamic;maintainability, functional_suitability;high;APIs, DBs, functions;data_flow;rectangles, cylinders, icons;y;uni;n;n;n;y;n;aws;manual sketch
Anonymous;lovasoa/SuperLogger;https://github.com/lovasoa/SuperLogger/blob/master/images/architecture-schema.png;entire;boxes_and_arrows;client-server;connectivity;static;maintainability;medium;servers, sub-systems, technologies;communication;rectangles;y;uni;n;n;y;y;code_snippet;elasticsearch, kibana;
Anonymous;qunarcorp/m_adr_qapm_open_source;https://github.com/qunarcorp/m_adr_qapm_open_source/blob/master/image/qapm-Architecture.png;entire;boxes_and_arrows;layered;control_flow;dynamic;maintainability, functional_suitability;medium;APIs, sub-systems, functions;control_flow;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;kzh/noob;https://github.com/kzh/noob/blob/8e83d650de4d94855582c615944ef166819081f9/images/Noob%20Architecture.svg;entire;boxes_and_arrows;microservices;deployment;static;maintainability;high;containers, sub-systems, servers, DBs;data_flow;rectangles, icons;y;no;n;y;n;y;n;rabbitmq, docker, kubernetes, nginx, redis, mongodb;
Anonymous;SocialGouv/archifiltre-docs;https://github.com/SocialGouv/archifiltre-docs/blob/dev/docs/architecture.png;entire+;boxes_and_arrows;SOA;deployment, data_flow;dynamic;maintainability;high;technologies, services;data_flow;rectangles, icons;y;uni, bi;n;n;n;y;n;github, electron, react, redux, sentry, matomo;
Anonymous;OpenIPC/motors;https://github.com/OpenIPC/motors/blob/master/api/architecture.png;entire+;boxes_and_arrows;layered;control_flow;dynamic;maintainability, compatibility;low;hardware_components, layers, APIs, sub-systems;function_calls, communication;rectangles, circles;y;uni, bi;n;y;y;y;n;NA;
Anonymous;NLP4L/attic-nlp4l;https://github.com/NLP4L/attic-nlp4l/blob/master/nlp4l-architecture-20150619.png;entire+;boxes;layered;general;static;maintainability;high;layers, APIs, DBs, technologies, clients;NA;rectangles, cylinders;y;NA;n;n;y;n;n;lucene;
Anonymous;SafeBreach-Labs/hAFL2;https://github.com/SafeBreach-Labs/hAFL2/blob/main/images/Architecture.png;part;boxes_and_arrows;client-server;deployment, connectivity;static;maintainability;medium;servers, packages, VMs;communication;rectangles, squares;y;bi;n;y;n;y;n;NA;
Anonymous;darrenyao87/tnn-models;https://github.com/darrenyao87/tnn-models/blob/master/doc/en/imgs/tnn_architect.jpg;entire+;boxes;layered;general;static;maintainability;medium;technologies, hardware_components, sub-systems, functions;NA;rectangles;y;NA;n;y;n;n;n;tensorflow, pytorch, caffe, mxnet;
Anonymous;whtngus/whtngus.github.io;https://github.com/whtngus/whtngus.github.io/blob/master/_history/bigdata/빅데이터_컴퓨팅_강의/09-13.HIVE_언어/pic/hive_architecture01.PNG;entire+;boxes;layered, map-reduce;deployment;static;maintainability, flexibility;high;layers, technologies, DBs;communication;rectangles, cylinders;y;bi;n;y;n;y;n;apache, java;
Anonymous;openshift/configuration-anomaly-detection;https://github.com/openshift/configuration-anomaly-detection/blob/main/images/cad_overview/cad_architecture_dark.png;entire;boxes_and_arrows;SOA;security, control_flow;static, dynamic;functional_suitability, security;medium;services, functions, packages;data_flow;rectangles, diamonds, squares;n;uni;n;y;n;y;code_snippet;pagerduty, tekton;
Anonymous;tokencard/contracts;https://github.com/tokencard/contracts/blob/master/docs/high_level_architecture.svg;entire;boxes_and_arrows;smart-contracts;general;static;maintainability, security;medium;contracts;dependencies;rectangles;n;uni, bi;n;n;n;y;n;ethereum;blockchain
Anonymous;FAC10/week4-jajascript;https://github.com/FAC10/week4-jajascript/blob/master/public/assets/architecture-diagram.png;entire;boxes_and_arrows;layered;control_flow;static, dynamic;maintainability;medium;packages;communication, function_calls;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;kubescape/host-scanner;https://github.com/kubescape/host-scanner/blob/master/docs/e2e-test-architecture.png;part;icons_and_arrows;NA;general;static;maintainability;medium;packages;dependencies;icons;n;uni;n;n;n;y;n;NA;
Anonymous;arkaneshiro/Sound-Zone;https://github.com/arkaneshiro/Sound-Zone/blob/master/Documentation/readme-resources/Soundzone_Application_Architecture.png;entire;boxes_and_arrows;layered;control_flow;static, dynamic;maintainability;high;layers, DBs;control_flow;rectangles, icons;y;uni, bi;n;n;n;y;text;postgresql, cloudinary, react, redux;
Anonymous;Enterprise-CMCS/macpro-appian-connector;https://github.com/Enterprise-CMCS/macpro-appian-connector/blob/master/docs/assets/architecture.png;entire;boxes_and_arrows;event-driven;control_flow;dynamic;functional_suitability;medium;technologies, DBs;control_flow, communication;rectangles, squares, icons;y;uni, bi;n;y;n;y;text;aws, oracle;
Anonymous;shinesolutions/sitechecker-slackbot;https://github.com/shinesolutions/sitechecker-slackbot/blob/master/docs/architecture.jpg;entire;icons_and_arrows, boxes;event-driven;deployment, connectivity;static;maintainability, flexibility;high;technologies, functions, APIs;data_flow;rectangles, squares, 3d, icons;y;uni;n;y;n;y;n;aws, slack;
Anonymous;lowes/auditor;https://github.com/lowes/auditor/blob/main/docs/auditor-v1-architecture.png;entire;boxes_and_arrows;client-server;deployment;static;maintainability;high;DBs, servers, technologies, clients;data_flow;squares, icons, cylinders;y;uni;n;y;n;y;n;NA;
Anonymous;aws-solutions/iot-device-simulator;https://github.com/aws-solutions/iot-device-simulator/blob/main/architecture.png;entire;icons_and_arrows;microservices;deployment, connectivity;dynamic;maintainability, interaction_capability;high;technologies;control_flow;squares, icons;y;uni, bi;n;n;n;y;n;aws;
Anonymous;KuangRD/Autonomous-Driving;https://github.com/KuangRD/Autonomous-Driving/blob/master/Self-DrivingCarND/Projects/Term3/CarND-Capstone/doc/architecture/architecture.png;entire+;boxes_and_arrows;NA;control_flow;static, dynamic;functional_suitability;low;layers, sub-systems;function_calls;rectangles;y;uni;y;n;n;y;n;ros;ROS duplicate
Anonymous;teamgram/teamgram-server;https://github.com/teamgram/teamgram-server/blob/master/docs/image/architecture-001.png;entire+;boxes_and_arrows;layered, SOA;deployment, connectivity;static;maintainability;medium;technologies, layers, services, DBs, packages;communication;rectangles;y;uni, bi;n;y;n;y;n;apache, mysql, redis, minio;
Anonymous;calmato/gran-book;https://github.com/calmato/gran-book/blob/master/docs/12_backend/01_design/images/architecture.jpeg;entire;boxes_and_arrows;layered, microservices;connectivity;static;maintainability;medium;services, APIs, DBs;communication;rectangles, squares, icons;y;bi;y;y;n;y;n;mysql, firestore, firebase;
Anonymous;lkmSasanga/fas-web-app;https://github.com/lkmSasanga/fas-web-app/blob/master/architecture.png;entire+;boxes_and_arrows;rest;deployment, control_flow;static, dynamic;maintainability, functional_suitability;low;sub-systems, DBs, functions;control_flow, data_flow;rectangles, icons;y;uni;n;y;n;y;n;mongodb, react, nodejs, apache;
Anonymous;alexprut/earth-defender;https://github.com/alexprut/earth-defender/blob/master/documentation/img/GeneralArchitecture.png;entire;boxes_and_arrows;client-server;connectivity;static;maintainability;high;servers, clients, network_components;communication;rectangles;y;bi;n;y;n;y;n;NA;
Anonymous;ShiftLeftSecurity/traceleft;https://github.com/ShiftLeftSecurity/traceleft/blob/master/documentation/traceleft-architecture.png;part;boxes_and_arrows;event-driven;deployment, control_flow;dynamic;maintainability, functional_suitability;low;technologies, functions;function_calls;rectangles, squares, cylinders;y;uni;n;y;y;y;code_snippet;linux;
Anonymous;nasa/cFS;https://github.com/nasa/cFS/blob/main/.github/workflows/Reusable-Workflows-Architecture.svg;part;boxes_and_arrows;NA;general;static;maintainability;medium;packages;dependencies;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;0xMelkor/ethereum-node;https://github.com/0xMelkor/ethereum-node/blob/main/docs/images/architecture.png;entire+;boxes_and_arrows;layered, P2P;deployment, connectivity;static;maintainability, performance_efficiency;medium;DBs, servers, technologies;communication;rectangles, circles;y;uni;n;y;y;y;n;influxdb, nginx, grafana, geth, lighthouse, ethereum;
Anonymous;sfujiwara/terraform-google-ai-platform-notification;https://github.com/sfujiwara/terraform-google-ai-platform-notification/blob/main/img/architecture.png;entire;icons_and_arrows;publish-subscribe;data_flow;dynamic;maintainability;high;technologies, functions;data_flow;rectangles, icons;y;uni;n;n;n;y;n;google;
Anonymous;allegroai/clearml-agent;https://github.com/allegroai/clearml-agent/blob/master/docs/clearml_architecture.png;entire+;boxes_and_arrows;client-server;deployment;static;interaction_capability, functional_suitability;medium;sub-systems, functions;function_calls;rectangles, icons;n;uni, bi;n;y;n;y;n;NA;
Anonymous;ParaStation/psmpi;https://github.com/ParaStation/psmpi/blob/master/mpich2/modules/ucx/docs/doxygen/Architecture.png;entire+;boxes;layered;general;static;maintainability;medium;layers, APIs, hardware_components, technologies;communication;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;abel-gr/warehouse-robot;https://github.com/abel-gr/warehouse-robot/blob/master/Simulation/Unity/screenshots/software_architecture_unity.png;entire;boxes_and_arrows;NA;general;static;functional_suitability;medium;packages;dependencies;rectangles;y;uni, bi;n;n;n;y;text;NA;
Anonymous;OAID/Tengine;https://github.com/OAID/Tengine/blob/tengine-lite/doc/docs_en/images/architecture.png;entire;boxes;layered;general;static;maintainability;medium;technologies, hardware_components, packages;NA;rectangles;y;NA;y;y;n;n;n;tensorflow, pytorch, mxnet, caffe, darknet, megengine, oneflow, cuda;
Anonymous;de1ux/statlord;https://github.com/de1ux/statlord/blob/master/docs/architecture.png;entire;boxes_and_arrows;client-server;control_flow;dynamic;functional_suitability, interaction_capability;high;servers, functions;control_flow;rectangles, icons, squares;n;uni;n;n;n;y;text;NA;
Anonymous;hotshot07/distributed_systems;https://github.com/hotshot07/distributed_systems/blob/main/Images/system-architecture.png;entire;boxes_and_arrows;microservices;deployment;static, dynamic;maintainability, flexibility, interaction_capability;medium;services, servers, DBs, clients;control_flow, data_flow;rectangles, cylinders, icons;y;uni;y;y;n;y;n;kubernetes, react, nginx, flask;
Anonymous;fdrennan/ndexr-platform;https://github.com/fdrennan/ndexr-platform/blob/master/airflow/airflower/docs/airflow_architecture.png;entire;boxes_and_arrows;layered;general;static;maintainability;high;sub-systems;dependencies;rectangles, squares, icons;y;bi;n;y;n;y;n;NA;
Anonymous;wso2/chef-apim;https://github.com/wso2/chef-apim/blob/master/image/architecture.png;entire;boxes;client-server;connectivity;static, dynamic;functional_suitability, maintainability, reliability;medium;servers, APIs, sub-systems, data;function_calls;rectangles, squares, icons;y;uni;n;y;n;y;n;NA;
Anonymous;ra1028/VueFlux;https://github.com/ra1028/VueFlux/blob/master/assets/architecture.png;part;boxes_and_arrows;MVC;general;static;maintainability;low;classes;dependencies;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;btcpayserver/btcpayserver-doc;https://github.com/btcpayserver/btcpayserver-doc/blob/master/docs/img/btcpay-architecture-advancing-bitcoin.png;entire;boxes_and_arrows;client-server;deployment;static;maintainability;low;packages, containers, functions, devices;dependencies;rectangles;y;uni;y;n;n;y;parameters;docker;
Anonymous;ingeniala/heybluekata;https://github.com/ingeniala/heybluekata/blob/main/Assets/1.3.Architecture%20Characteristics.png;part;boxes_and_arrows;NA;general;static;security, maintainability, flexibility, performance_efficiency, interaction_capability;medium;quality-attributes;dependencies;rectangles;y;uni, no;n;y;n;y;n;NA;quality attributes
Anonymous;WeBankFinTech/DeFiBus;https://github.com/WeBankFinTech/DeFiBus/blob/develop/docs/images/features/a-distributing-architecture-in-financial-EN.png;entire+;boxes_and_arrows;layered, SOA;deployment, connectivity;static;maintainability, flexibility, performance_efficiency;high;DBs, clients, services, layers;data_flow;rectangles, cylinders, ellipses, squares;y;uni, bi;n;y;n;y;text;NA;
Anonymous;rubenbupe/proyectos-data;https://github.com/rubenbupe/proyectos-data/blob/main/assets/architecture.png;entire;icons_and_arrows;event-driven;deployment, connectivity;static, dynamic;maintainability, security;high;technologies;communication;rectangles, icons;y;uni;n;y;y;y;URLs;mongodb, rabbitmq, grafana, kubernetes, prometheus;
Anonymous;open-risk/Open_Risk_API;https://github.com/open-risk/Open_Risk_API/blob/master/Architecture.png;entire;icons_and_arrows, boxes;client-server;deployment;static;maintainability;high;servers;data_flow, communication;rectangles, icons;y;uni, bi;n;y;n;y;n;NA;
Anonymous;redbadger/crux;https://github.com/redbadger/crux/blob/master/crux_core/architecture.svg;entire;boxes_and_arrows;event-driven, MVC;connectivity, control_flow;static, dynamic;maintainability, interaction_capability;high;APIs, clients, sub-systems;control_flow;rectangles, cylinders, ellipses;y;uni, bi;n;y;n;y;n;NA;
Anonymous;sup2is/e-commerce-project;https://github.com/sup2is/e-commerce-project/blob/master/architecture.png;entire;boxes_and_arrows;client-server, microservices;deployment, connectivity;static;maintainability;high;DBs, services, servers, APIs;communication;circles, rectangles, cylinders;y;uni, no;n;n;n;y;n;redis, nginx, eureka, zipkin;
Anonymous;6boris/web3-template;https://s.gin.sh/develop/web3/web3_architecture.png;entire;boxes_and_arrows;microservices;deployment, connectivity;static, dynamic;maintainability, functional_suitability;medium;clients, services, DBs, technologies, packages;communication, function_calls;rectangles, cylinders;y;uni;n;y;n;y;text;mysql, redis, prometheus, rabbitmq, apache, ethereum, polygon, bsc;blockchain
Anonymous;AhmedAbdelGawadFarag/Shams-Personal-Assistant;https://github.com/AhmedAbdelGawadFarag/Shams-Personal-Assistant/blob/master/images/system_architecture.png;entire;icons_and_arrows;client-server;data_flow;dynamic;functional_suitability;high;APIs, servers, clients;data_flow;icons;y;uni;n;n;n;y;n;NA;
Anonymous;readium/architecture;https://github.com/readium/architecture/blob/master/other/images/architecture.svg;entire;boxes_and_arrows;;general;static;maintainability;medium;packages, sub-systems;communication, dependencies;rectangles, cylinders;y;uni, bi;n;y;n;y;n;NA;
Anonymous;Nishu0/anime_nft_marketplace;https://github.com/Nishu0/anime_nft_marketplace/blob/main/assets/Architecture.png;part;boxes_and_arrows;smart-contracts;control_flow;dynamic;functional_suitability, interaction_capability;medium;steps;control_flow;rectangles, diamonds;y;uni;n;n;n;y;n;NA;blockchain
Anonymous;ertis-research/lwm2m-blockchain;https://github.com/ertis-research/lwm2m-blockchain/blob/master/images/architecture.png;entire+;icons_and_arrows;client-server;connectivity, control_flow;static, dynamic;security, functional_suitability;high;clients, servers, APIs, network_components;control_flow, communication;circles, icons;y;uni, bi;n;n;n;y;text;NA;blockchain
Anonymous;geovanegodoi/MicroServicesPOC;https://github.com/geovanegodoi/MicroServicesPOC/blob/master/images/macro-architecture.png;entire;boxes_and_arrows;microservices, event-driven;deployment, control_flow;dynamic;maintainability, interaction_capability;medium;DBs, services, bus, clients, APIs;control_flow, data_flow;rectangles, cylinders, hexagons, icons, squares;y;uni, bi, bus;n;y;n;y;n;docker, rabbitmq, mongodb;
